iter	Passed	Remaining
0	0	292
1	0	247
2	0	233
3	0	227
4	1	218
5	1	214
6	1	215
7	1	213
8	1	210
9	2	207
10	2	207
11	2	205
12	2	206
13	2	204
14	3	202
15	3	201
16	3	200
17	3	199
18	3	199
19	4	198
20	4	197
21	4	196
22	4	195
23	4	195
24	4	194
25	5	194
26	5	193
27	5	192
28	5	191
29	5	190
30	6	190
31	6	189
32	6	188
33	6	188
34	6	188
35	7	187
36	7	187
37	7	187
38	7	186
39	7	186
40	7	185
41	8	185
42	8	184
43	8	184
44	8	184
45	8	183
46	9	183
47	9	183
48	9	182
49	9	182
50	9	182
51	9	181
52	10	181
53	10	181
54	10	180
55	10	180
56	10	180
57	11	181
58	11	181
59	11	181
60	11	181
61	11	180
62	12	180
63	12	180
64	12	180
65	12	180
66	12	179
67	13	183
68	13	183
69	13	182
70	13	182
71	14	182
72	14	181
73	14	181
74	14	181
75	14	180
76	15	180
77	15	180
78	15	180
79	15	179
80	15	179
81	16	179
82	16	177
83	16	177
84	16	177
85	16	177
86	16	176
87	17	176
88	17	176
89	17	175
90	17	175
91	17	175
92	17	175
93	18	174
94	18	174
95	18	174
96	18	174
97	18	173
98	19	173
99	19	173
100	19	173
101	19	173
102	19	173
103	20	173
104	20	172
105	20	172
106	20	172
107	20	172
108	21	172
109	21	171
110	21	171
111	21	171
112	21	171
113	21	170
114	22	170
115	22	170
116	22	169
117	22	169
118	22	169
119	23	169
120	23	168
121	23	168
122	23	168
123	23	168
124	23	167
125	24	168
126	24	167
127	24	168
128	24	168
129	25	168
130	25	171
131	26	171
132	26	172
133	26	174
134	27	174
135	27	174
136	27	174
137	27	174
138	28	174
139	28	174
140	28	173
141	28	173
142	28	172
143	29	172
144	29	172
145	29	171
146	29	171
147	29	171
148	29	170
149	30	170
150	30	170
151	30	170
152	30	169
153	30	169
154	31	169
155	31	168
156	31	168
157	31	168
158	31	168
159	31	167
160	32	167
161	32	166
162	32	166
163	32	166
164	32	166
165	32	165
166	33	165
167	33	165
168	33	164
169	33	164
170	33	164
171	34	164
172	34	163
173	34	163
174	34	163
175	34	162
176	34	162
177	35	162
178	35	162
179	35	162
180	35	161
181	35	161
182	36	161
183	36	161
184	36	160
185	36	160
186	36	160
187	37	160
188	37	159
189	37	159
190	37	159
191	37	159
192	37	158
193	38	158
194	38	158
195	38	158
196	38	157
197	38	157
198	39	157
199	39	157
200	39	157
201	39	156
202	39	156
203	40	156
204	40	156
205	40	155
206	40	155
207	40	155
208	41	155
209	41	155
210	41	154
211	41	154
212	41	154
213	41	154
214	42	153
215	42	153
216	42	153
217	42	153
218	42	152
219	43	152
220	43	152
221	43	152
222	43	151
223	43	151
224	43	151
225	44	151
226	44	151
227	44	150
228	44	150
229	44	150
230	45	150
231	45	150
232	45	149
233	45	149
234	45	149
235	46	148
236	46	148
237	46	148
238	46	148
239	46	148
240	46	147
241	47	147
242	47	147
243	47	147
244	47	147
245	48	147
246	48	146
247	48	146
248	48	146
249	48	146
250	49	146
251	49	146
252	49	145
253	49	145
254	49	145
255	49	145
256	50	145
257	50	144
258	50	144
259	50	144
260	50	143
261	51	143
262	51	143
263	51	143
264	51	143
265	51	143
266	52	143
267	52	142
268	52	142
269	52	142
270	52	142
271	53	142
272	53	141
273	53	141
274	53	141
275	53	141
276	54	141
277	54	140
278	54	140
279	54	140
280	54	140
281	54	139
282	55	139
283	55	139
284	55	139
285	55	139
286	55	138
287	56	138
288	56	138
289	56	138
290	56	138
291	56	137
292	57	137
293	57	137
294	57	137
295	57	136
296	57	136
297	57	136
298	58	136
299	58	136
300	58	135
301	58	135
302	58	135
303	59	135
304	59	135
305	59	134
306	59	134
307	59	134
308	60	134
309	60	134
310	60	133
311	60	133
312	60	133
313	61	133
314	61	133
315	61	132
316	61	132
317	61	132
318	61	132
319	62	131
320	62	131
321	62	131
322	62	131
323	62	131
324	63	130
325	63	130
326	63	130
327	63	130
328	63	130
329	63	129
330	64	129
331	64	129
332	64	129
333	64	129
334	64	128
335	65	128
336	65	128
337	65	128
338	65	128
339	65	127
340	66	127
341	66	127
342	66	127
343	66	126
344	66	126
345	66	126
346	67	126
347	67	126
348	67	125
349	67	125
350	67	125
351	67	125
352	68	124
353	68	124
354	68	124
355	68	124
356	68	124
357	69	123
358	69	123
359	69	123
360	69	123
361	69	123
362	70	122
363	70	122
364	70	122
365	70	122
366	70	122
367	71	121
368	71	121
369	71	121
370	71	121
371	71	121
372	71	120
373	72	120
374	72	120
375	72	120
376	72	120
377	72	119
378	73	119
379	73	119
380	73	119
381	73	119
382	74	119
383	74	119
384	74	118
385	74	118
386	74	118
387	74	118
388	75	118
389	75	117
390	75	117
391	75	117
392	75	117
393	76	117
394	76	116
395	76	116
396	76	116
397	76	116
398	77	116
399	77	116
400	77	115
401	77	115
402	77	115
403	78	115
404	78	115
405	78	114
406	78	114
407	78	114
408	79	114
409	79	114
410	79	113
411	79	113
412	79	113
413	79	113
414	80	112
415	80	112
416	80	112
417	80	112
418	80	112
419	81	111
420	81	111
421	81	111
422	81	111
423	81	111
424	81	110
425	82	110
426	82	110
427	82	110
428	83	110
429	83	110
430	83	110
431	83	109
432	83	109
433	83	109
434	84	109
435	84	109
436	84	108
437	84	108
438	84	108
439	85	108
440	85	108
441	85	107
442	85	107
443	85	107
444	85	107
445	86	107
446	86	106
447	86	106
448	86	106
449	86	106
450	87	105
451	87	105
452	87	105
453	87	105
454	87	105
455	87	104
456	88	104
457	88	104
458	88	104
459	88	104
460	88	103
461	89	103
462	89	103
463	89	103
464	89	103
465	89	102
466	90	102
467	90	102
468	90	102
469	90	102
470	90	101
471	90	101
472	91	101
473	91	101
474	91	101
475	91	100
476	91	100
477	92	100
478	92	100
479	92	100
480	92	100
481	92	99
482	93	99
483	93	99
484	93	99
485	93	98
486	93	98
487	93	98
488	94	98
489	94	98
490	94	97
491	94	97
492	94	97
493	95	97
494	95	97
495	95	96
496	95	96
497	95	96
498	95	96
499	96	96
500	96	95
501	96	95
502	96	95
503	96	95
504	97	95
505	97	94
506	97	94
507	97	94
508	98	94
509	98	94
510	98	94
511	98	94
512	98	93
513	99	93
514	99	93
515	99	93
516	99	93
517	100	93
518	100	92
519	100	92
520	100	92
521	100	92
522	100	92
523	101	91
524	101	91
525	101	91
526	101	91
527	101	91
528	102	90
529	102	90
530	102	90
531	102	90
532	102	89
533	102	89
534	103	89
535	103	89
536	103	89
537	103	88
538	103	88
539	103	88
540	104	88
541	104	88
542	104	87
543	104	87
544	104	87
545	105	87
546	105	87
547	105	86
548	105	86
549	105	86
550	105	86
551	106	86
552	106	85
553	106	85
554	106	85
555	106	85
556	107	85
557	107	84
558	107	84
559	107	84
560	107	84
561	108	84
562	108	83
563	108	83
564	108	83
565	108	83
566	108	83
567	109	83
568	109	82
569	109	82
570	109	82
571	109	82
572	110	82
573	110	81
574	110	81
575	110	81
576	110	81
577	111	81
578	111	80
579	111	80
580	111	80
581	111	80
582	111	80
583	112	79
584	112	79
585	112	79
586	112	79
587	112	79
588	113	78
589	113	78
590	113	78
591	113	78
592	113	78
593	114	78
594	114	78
595	114	77
596	114	77
597	115	77
598	115	77
599	115	77
600	115	76
601	115	76
602	116	76
603	116	76
604	116	76
605	116	75
606	116	75
607	117	75
608	117	75
609	117	75
610	117	74
611	117	74
612	117	74
613	118	74
614	118	74
615	118	73
616	118	73
617	118	73
618	119	73
619	119	73
620	119	72
621	119	72
622	119	72
623	119	72
624	120	72
625	120	71
626	120	71
627	120	71
628	120	71
629	121	71
630	121	70
631	121	70
632	121	70
633	121	70
634	122	70
635	122	69
636	122	69
637	122	69
638	122	69
639	122	69
640	123	68
641	123	68
642	123	68
643	123	68
644	123	68
645	124	67
646	124	67
647	124	67
648	124	67
649	124	67
650	124	67
651	125	66
652	125	66
653	125	66
654	125	66
655	125	66
656	126	65
657	126	65
658	126	65
659	126	65
660	126	65
661	126	64
662	127	64
663	127	64
664	127	64
665	127	64
666	127	63
667	128	63
668	128	63
669	128	63
670	128	63
671	128	62
672	128	62
673	129	62
674	129	62
675	129	62
676	129	61
677	130	61
678	130	61
679	130	61
680	130	61
681	130	60
682	131	60
683	131	60
684	131	60
685	131	60
686	131	60
687	131	59
688	132	59
689	132	59
690	132	59
691	132	59
692	132	58
693	133	58
694	133	58
695	133	58
696	133	58
697	133	57
698	133	57
699	134	57
700	134	57
701	134	57
702	134	56
703	134	56
704	135	56
705	135	56
706	135	56
707	135	55
708	135	55
709	136	55
710	136	55
711	136	55
712	136	54
713	136	54
714	136	54
715	137	54
716	137	54
717	137	54
718	137	53
719	137	53
720	138	53
721	138	53
722	138	53
723	138	52
724	138	52
725	138	52
726	139	52
727	139	52
728	139	51
729	139	51
730	139	51
731	140	51
732	140	51
